City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,pacific grove,55.7433,-97.8635,-17.9,85,100,1.03,CA,"Feb 07, 2023, Tue, 23:00"
144,saint george,63.7499,-68.5213,-32.03,68,100,1.03,CA,"Feb 07, 2023, Tue, 23:00"
145,kondinskoye,48.4283,-123.365,6.96,84,75,8.23,CA,"Feb 07, 2023, Tue, 23:00"
146,pangody,57.8406,108.3492,-12.1,92,100,2.27,RU,"Feb 07, 2023, Tue, 23:00"
147,brookhaven,15.5636,32.5349,15.57,25,17,1.34,SD,"Feb 07, 2023, Tue, 23:00"
148,xichang,9.3071,13.3935,21.37,22,48,0.92,CM,"Feb 07, 2023, Tue, 23:00"
149,thompson,37.6138,-122.4869,11.96,82,20,2.57,US,"Feb 07, 2023, Tue, 23:00"
150,iqaluit,30.4707,-8.8779,8.01,86,27,2.15,MA,"Feb 07, 2023, Tue, 23:00"
151,victoria,14.2108,24.6496,12.13,27,15,5.68,SD,"Feb 07, 2023, Tue, 23:00"
152,alekseyevsk,60.5544,-151.2583,-3.95,80,100,6.69,US,"Feb 07, 2023, Tue, 23:00"
153,khartoum,-20.3472,57.7647,29.18,74,75,6.69,MU,"Feb 07, 2023, Tue, 23:00"
154,garoua,14.1951,43.3152,24.39,73,79,2.51,YE,"Feb 07, 2023, Tue, 23:00"
155,pacifica,41.8447,60.3899,3.04,51,100,6.85,UZ,"Feb 07, 2023, Tue, 23:00"
156,tarudant,-33.6938,-53.4561,20.01,88,11,2.76,BR,"Feb 07, 2023, Tue, 23:00"
157,kutum,-24.8653,152.3517,29.5,60,44,3.13,AU,"Feb 07, 2023, Tue, 23:00"
158,kenai,34.4964,-118.3256,13.53,40,58,3.44,US,"Feb 07, 2023, Tue, 23:00"
159,bambous virieux,68.3762,17.5963,6.08,83,99,6.62,NO,"Feb 07, 2023, Tue, 23:00"
160,zabid,-0.7472,-90.3134,26.22,92,31,2.24,EC,"Feb 07, 2023, Tue, 23:00"
161,gurlan,35.1522,140.3207,9.11,76,99,7.9,JP,"Feb 07, 2023, Tue, 23:00"
162,chuy,65.2824,-126.8327,-26.98,76,40,1.03,CA,"Feb 07, 2023, Tue, 23:00"
163,bundaberg,61.8986,5.7913,8.41,57,75,5.14,NO,"Feb 07, 2023, Tue, 23:00"
164,agua dulce,44.7529,-108.759,4.33,74,0,4.63,US,"Feb 07, 2023, Tue, 23:00"
165,beisfjord,31.8638,10.9828,12.21,69,100,7.11,LY,"Feb 07, 2023, Tue, 23:00"
